2024-06-17 12:37:15: Качаем свечи для акции 'AQUA' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции AQUA с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'ARSA'
2024-06-17 12:37:15: Качаем свечи для акции 'ARSA' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции ARSA с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'ASSB'
2024-06-17 12:37:15: Качаем свечи для акции 'ASSB' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции ASSB с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'ASTR'
2024-06-17 12:37:15: Качаем свечи для акции 'ASTR' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции ASTR с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'AVAN'
2024-06-17 12:37:15: Качаем свечи для акции 'AVAN' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции AVAN с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'BANE'
2024-06-17 12:37:15: Качаем свечи для акции 'BANE' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции BANE с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'BANEP'
2024-06-17 12:37:15: Качаем свечи для акции 'BANEP' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции BANEP с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'BELU'
2024-06-17 12:37:15: Качаем свечи для акции 'BELU' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции BELU с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'BISVP'
2024-06-17 12:37:15: Качаем свечи для акции 'BISVP' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции BISVP с таймфреймом D. 
